Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,2020-05-05,32.7,27.8,38,27.8 - 38.0,NA
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,2020-05-05,25.4,23.9,26.9,23.9 - 26.9,NA
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,2020-05-05,25.6,24.4,26.9,24.4 - 26.9,NA
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,2020-05-05,17.6,16.8,18.4,16.8 - 18.4,NA
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,2020-05-05,37.3,32.4,42.4,32.4 - 42.4,NA
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,2020-05-05,30.6,29,32.3,29.0 - 32.3,NA
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,2020-05-05,33.5,32,35.1,32.0 - 35.1,NA
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,2020-05-05,27,26.3,27.8,26.3 - 27.8,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,2020-05-05,45.4,40.3,50.5,40.3 - 50.5,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,2020-05-05,36.7,35.2,38.2,35.2 - 38.2,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,2020-05-05,38.5,36.9,40,36.9 - 40.0,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,2020-05-05,30.7,29.8,31.5,29.8 - 31.5,NA
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,31.4,25.9,37.3,25.9 - 37.3,NA
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,27.1,24.9,29.4,24.9 - 29.4,NA
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,26.5,25,28.1,25.0 - 28.1,NA
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,17.2,16,18.3,16.0 - 18.3,NA
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,36.6,30.2,43.4,30.2 - 43.4,NA
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,32.8,30.4,35.3,30.4 - 35.3,NA
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,31.5,29.7,33.3,29.7 - 33.3,NA
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,24.2,23.1,25.4,23.1 - 25.4,NA
